States	Cases	% Sun	Total Hours	Clear Days	Population	Avg Â°F
Alabama	0	58	2641	99	4903185	62.8
Alaska	0	41	2061	61	731545	26.6
Arizona	5	85	3806	193	7278717	60.3
Arkansas	0	61	2771	123	3017804	60.4
California	110	68	3055	146	39512223	59.4
Colorado	8	71	3204	136	5758736	45.1
Connecticut	5	56	2585	82	3565287	49
Florida	6	66	2927	101	21477737	70.7
Georgia	7	66	2986	112	10617423	63.5
Hawaii	5	71	3646	90	1415872	70
Idaho	0	64	2993	120	1787065	44.4
Illinois	7	56	2567	95	12671821	51.8
Indiana	5	55	2440	88	6732219	51.7
Iowa	5	59	2691	105	3155070	47.8
Kansas	5	65	2922	128	2913314	54.3
Kentucky	5	56	2514	93	4467673	55.6
Louisiana	0	57	2649	101	4648794	66.4
Maine	0	57	2513	101	1344212	41
Maryland	5	57	2582	105	6045680	54.2
Massachusetts	28	58	2634	98	6892503	47.9
Michigan	0	51	2392	71	9986857	44.4
Minnesota	5	58	2711	95	5639632	41.2
Mississippi	0	61	2720	111	2976149	63.4
Missouri	5	60	2690	115	6137428	54.5
Montana	0	59	2698	82	1068778	42.7
Nebraska	5	61	2762	117	1934408	48.8
Nevada	5	79	3646	158	3080156	49.9
New Hampshire	5	54	2519	90	1359711	43.8
New Jersey	6	56	2499	94	8882190	52.7
New Mexico	0	76	3415	167	2096829	53.4
New York	40	46	2120	63	19453561	45.4
North Carolina	5	60	2651	109	10488084	59
North Dakota	0	59	2738	93	762062	40.4
Ohio	0	50	2183	72	11689100	50.7
Oklahoma	5	68	3089	139	3956971	59.6
Oregon	14	48	2341	68	4217737	48.4
Pennsylvania	6	58	2614	87	12801989	48.8
Rhode Island	5	58	2606	98	1059361	50.1
South Carolina	6	64	2826	115	5148714	62.4
South Dakota	0	63	2947	104	884659	45.2
Tennessee	5	56	2510	102	6829174	57.6
Texas	6	61	2850	135	28995881	64.8
Utah	5	66	3029	125	3205958	48.6
Vermont	5	49	2295	58	623989	42.9
Virginia	5	63	2829	100	8535519	55.1
Washington	136	47	2170	58	7614893	48.3
Wisconsin	5	54	2428	89	5822434	43.1
Wyoming	0	68	3073	114	578759	42
